"Species after GB analysis","GB Number","Paper titles","Searched name",
"Anemia phyllitidis","SRX3868021","fern whole genome duplication study","Anemia phyllitidis"
"Salix exigua","SRX8148549|SRX8148548","Targeted sequence capture for phylogenetics and population genomics in the Salicaceae","Salix exigua"
"Salix nigra","SRX8148551|SRX8148550|SRX7982983|SRX7982982|SRX7982981|SRX7982980|SRX7982979|SRX7982978|SRX7982977|SRX7982976|SRX7982975|SRX7982974|SRX7982973|SRX7982972|SRX7982971|SRX7982970|SRX7982969|SRX7982968|SRX7982967|SRX7982966|SRX7982965|SRX7982964|SRX7982963|SRX7982962|SRX7982961|SRX7982960|SRX7982959|SRX7982958|SRX7982957|SRX7982956|SRX7982955|SRX7982954|SRX7982953|SRX7982952|SRX7982951|SRX7982950|SRX7982949|SRX7982948|SRX7982947|SRX7982946|SRX7982945|SRX7982944|SRX7982943|SRX7982942|SRX7982941|SRX7982940|SRX7982939|SRX7982938|SRX7982937|SRX7982936","Targeted sequence capture for phylogenetics and population genomics in the Salicaceae|Mapping the sex-linked region of Salix nigra","Salix nigra"
"Salix scouleriana","SRX8785816","Whole genome sequencing of species in the Salicaceae","Salix scouleriana"
"Comandra umbellata subsp. pallida","SRX8861000","DNA barcoding tallgrass prairie plants","Comandra pallida"
"Phoradendron californicum","SRX190953","Phoradendron microsatellites.","Phoradendron californicum"
"Phoradendron leucarpum","ERX2099337","1000 Plant (1KP) Transcriptomes: The Remaining Data","Phoradendron leucarpum"
"Acer negundo","SRX9668682|SRX9317544|ERX2099532","Acer negundo Raw sequence reads|chloroplast raw sequencing|1000 Plant (1KP) Transcriptomes: The Remaining Data","Acer negundo"
"Billia hippocastanum","ERX4839541","Data for release 1.0 of the Kew Tree of Life Explorer","Billia hippocastanum"
"Blomia prisca","ERX4839811","Data for release 1.0 of the Kew Tree of Life Explorer","Blomia prisca"
"Dodonaea viscosa subsp. angustifolia|Dodonaea viscosa subsp. mucronata|Dodonaea viscosa","ERX3901715|ERX3901608|SRX5462782|SRX4321615|SRX4022743|SRX4022742|SRX4022741|SRX4022740|SRX4022739|SRX4022738|SRX4022737|SRX4022736|SRX4022735|SRX4022734|SRX4022733|SRX4022732|SRX4022731|SRX4022730|SRX4022729|SRX4022728|SRX4022727|SRX4022726|SRX4022725|SRX4022724|SRX4022723|SRX4022722|SRX4022721|SRX4022720|SRX4022719|SRX4022718|SRX4022717|SRX4022716|SRX4022715|SRX4022714|SRX4022713|SRX4022712|SRX4022711|SRX4022710|SRX4022709|SRX4022708|SRX4022707|SRX4022706|SRX4022705|SRX4022704|SRX4022703|SRX4022702|SRX4022701|SRX4022700|SRX4022699|SRX4022698|SRX4022697|SRX4022696|SRX4022695|SRX4022694|SRX4022693|SRX4022692|SRX4022691|SRX4022690|SRX4022689|SRX4022688|SRX4022687|SRX4022686|SRX4022685|SRX4022684|SRX4022683|SRX4022682|SRX4022681|SRX4022680|SRX4022679|SRX4022678|SRX4022677|SRX1881002|SRX1881001|SRX1881000|SRX1880999|SRX1880998|SRX1880997|SRX1880996|SRX1880995|SRX1880994|SRX1880993|SRX1880992|SRX1880991|SRX1880990|SRX1880989|SRX1880988|SRX1880987|SRX1880986|SRX1880985|SRX1880984|SRX1880983|SRX1880982|SRX1880981|SRX1880980|SRX1880979|SRX1880978|SRX1880977|SRX1880976|SRX1880975|SRX1880974|SRX1880973|SRX1880972|SRX1880971|SRX1880970|SRX1880969|SRX1880968|SRX1880967|SRX1880966|SRX1880965|SRX1880964|SRX1880963|SRX1880962|SRX1880961|SRX1880960|SRX1880959|SRX1880957|SRX1880956|SRX1880955|SRX1880954|SRX1880953|SRX1880952|SRX1880951|SRX1880950|SRX1880949|SRX1880948|SRX1880947|SRX1880946|SRX1880945|SRX1880944|SRX1880943|SRX1880942|SRX1880941|SRX1880940|SRX1880939|SRX1880938|SRX1880937|SRX1880936|SRX1880935|SRX1880934|SRX1880933|SRX1880932|SRX1880931|SRX1880930|SRX1880929|SRX1880928|SRX1880927|SRX1880926|SRX1880925|SRX1880924|SRX1880923|SRX1880922|SRX1880921|SRX1880920|SRX1880919|SRX1880918|SRX1880917|SRX1880916|SRX1880915|SRX1880914|SRX1880913|SRX955716|SRX955715|SRX955713|SRX955712|SRX955711|SRX955710|SRX955706","Dual-locus DNA metabarcoding reveals southern hairy-nosed wombats (Lasiorhinus latifrons Owen) have a summer diet dominated by toxic invasive plants.|PILBseq - A plastid and ribosomal sequence database developed from herbarium material for accurate plant identification|Angiosperms353|Dodonaea viscosa subspecies comparison|Dodonaea viscosa subsp. angustissima Raw sequence reads|Dodonaea viscosa Transcriptome or Gene expression","Dodonaea viscosa"
"Exothea paniculata","ERX4839816","Data for release 1.0 of the Kew Tree of Life Explorer","Exothea paniculata"
"Paullinia pinnata","ERX4839625","Data for release 1.0 of the Kew Tree of Life Explorer","Paullinia pinnata"
"Sapindus saponaria","ERX4839555","Data for release 1.0 of the Kew Tree of Life Explorer","Sapindus saponaria"
"Thouinia acuminata","ERX4839568","Data for release 1.0 of the Kew Tree of Life Explorer","Thouinia acuminata"
"Ungnadia speciosa","ERX4839565","Data for release 1.0 of the Kew Tree of Life Explorer","Ungnadia speciosa"
"Urvillea ulmacea","ERX4839827","Data for release 1.0 of the Kew Tree of Life Explorer","Urvillea ulmacea"
"Manilkara zapota","SRX8542404|SRX3529759|ERX2099563","Asterid phylogenomics/phylotranscriptomics uncover morphological evolutionary histories and phylogenetic placement for numerous whole genome duplications|Manilkara zapota cultivar:Cricket ball Raw sequence reads|1000 Plant (1KP) Transcriptomes: The Remaining Data","Manilkara zapota"
"Pouteria campechiana","SRX5674961","Medicinal Plant","Pouteria campechiana"
"Saururus cernuus","SRX8165884|SRX5112808|ERX2099201","DNA Barcodes from the Global Genome Initiative for Gardens Program|Natural selection and repeated patterns of molecular evolution following allopatric divergence|1000 Plant (1KP) Transcriptomes: The Remaining Data","Saururus cernuus"
"Heuchera acutifolia","SRX992667","Heuchera Targeted Locus (Loci)","Heuchera acutifolia"
"Heuchera brevistaminea","SRX1269146","Heuchera Targeted Locus (Loci)","Heuchera brevistaminea"
"Heuchera longipetala var. longipetala","SRX1270186","Heuchera Targeted Locus (Loci)","Heuchera longipetala"
"Heuchera mexicana var. mexicana","SRX1270188","Heuchera Targeted Locus (Loci)","Heuchera mexicana"
"Heuchera parvifolia var. utahensis|Heuchera parvifolia|Heuchera parvifolia var. major|Heuchera parvifolia var. nivalis","SRX1270396|SRX1270206|SRX1270200|SRX992522","Heuchera Targeted Locus (Loci)","Heuchera parvifolia"
"Heuchera rubescens var. alpicola|Heuchera rubescens var. truncata|Heuchera rubescens var. rubescens|Heuchera rubescens var. versicolor","SRX1270249|SRX1270242|SRX1270185|SRX992519","Heuchera Targeted Locus (Loci)","Heuchera rubescens"
"Heuchera sanguinea","ERX2099353|SRX1270181","1000 Plant (1KP) Transcriptomes: The Remaining Data|Heuchera Targeted Locus (Loci)","Heuchera sanguinea"
"Jepsonia parryi","ERX3981007|SRX4737908","The microbial load, diversity and composition of the wine microbiota is affected by wine type and environmental-stress factors|Targeted sequencing data from species of the angiosperm order Saxifragales Targeted loci","Jepsonia parryi"
"Buddleja americana","SRX3426511","Targeted sequence capture of nuclear loci in genus Buddleja","Buddleja americana"
"Buddleja marrubiifolia","SRX3426506","Targeted sequence capture of nuclear loci in genus Buddleja","Buddleja marrubiifolia"
"Buddleja nitida","SRX3426513","Targeted sequence capture of nuclear loci in genus Buddleja","Buddleja nitida"
"Buddleja sessiliflora","SRX3426524","Targeted sequence capture of nuclear loci in genus Buddleja","Buddleja sessiliflora"
"Emorya rinconensis","SRX3426529","Targeted sequence capture of nuclear loci in genus Buddleja","Emorya rinconensis"
"Emorya suaveolens","SRX3426545","Targeted sequence capture of nuclear loci in genus Buddleja","Emorya suaveolens"
"Leucophyllum frutescens","SRX8371656|SRX8371655","Serrulatane diterpenoid biosynthesis in Leucophyllum frutescens","Leucophyllum frutescens"
"Illicium floridanum","SRX8165878|ERX2099175|SRX2855169|SRX1317966","DNA Barcodes from the Global Genome Initiative for Gardens Program|1000 Plant (1KP) Transcriptomes: The Remaining Data|FDA GenomeTrakrCP: cpDNA for botanical product identification|Chloroplast genomes of Illicium","Illicium floridanum"
"Setchellanthus caeruleus","ERX4143426","Data for the release 0.1 of the Kew Tree of Life","Setchellanthus caeruleus"
"Quassia amara","ERX2099533","1000 Plant (1KP) Transcriptomes: The Remaining Data","Quassia amara"
"Simmondsia chinensis","SRX9928205|SRX9928204|ERX3311921|ERX3311920|ERX2442469|SRX5780947|SRX5780946|SRX5780945|SRX5780944|SRX5780943|SRX5780942|SRX5780941|SRX5780940|SRX5780939|SRX5780938|SRX5780937|SRX5780936|SRX5780935|SRX5780934|SRX5780933|SRX5780932|SRX5780931|SRX5780930|SRX5780929|SRX5780928|SRX5780927|SRX5780926|SRX5780925|SRX5780924|SRX5780923|SRX5780922|SRX5780921|SRX5780920|SRX5780919|SRX5780918|SRX5780917|SRX5780916|SRX5780915|SRX5780914|SRX5780913|SRX5780912|SRX5780911|SRX5780910|SRX5780909|SRX5780908|SRX5780907|SRX5780906|SRX5780905|SRX5780904|SRX6360025|SRX6360024|SRX6360023|SRX6359490|SRX6359489|SRX6359488|SRX6359355|SRX6359354|SRX6359353|SRX6359352|SRX6359351|SRX6359350|ERX2099330","Jojoba sequence Project|RNA-Seq of Simmondsia chinensis|Sequencing and de novo assembly of the Simmondsia chinensis genome|RNA-seqencing of Jojoba seed tissues, seed developmental stages, and other tissues|RNA-seq analysis of the jojoba fruit|RNA-seq analysis of the jojoba leaves|RNA-seq analysis of the response to cold acclimation in jojoba leaves|1000 Plant (1KP) Transcriptomes: The Remaining Data","Simmondsia chinensis"
"Smilax bona-nox","ERX337167","1000 Plant (1KP) Transcriptomes : The pilot study.","Smilax bona-nox"
"Brugmansia sanguinea","ERX2099692","1000 Plant (1KP) Transcriptomes: The Remaining Data","Brugmansia sanguinea"
"Calibrachoa parviflora","ERX4840447","Data for release 1.0 of the Kew Tree of Life Explorer","Calibrachoa parviflora"
"Capsicum frutescens","SRX5988177|SRX5988176|SRX5988175|SRX5988174|DRX131136|DRX131133|DRX131098|DRX131089|DRX131068|DRX131055|DRX131041|DRX131029|DRX131022|DRX131018|DRX131013|DRX131012|DRX131006|DRX131005|DRX131004|DRX131003|DRX131002|DRX131001|DRX131000|DRX130996|DRX130992|DRX130989|DRX130988|DRX130984|DRX130980|DRX130979|DRX130968|SRX5162341|SRX5162338|SRX5129475|SRX5129474|SRX5129473|SRX5129472|SRX5129470|SRX5129469|SRX5129468|SRX5129467|SRX5129466|SRX5129465|SRX5129464|ERX2593963|ERX2593959|SRX4120111|SRX4120108|SRX4120106|SRX4120104|SRX4120103|SRX4120095|SRX4120094|SRX4120092|SRX4120091|SRX4120090|SRX4120089|SRX4120088|SRX4120085|SRX4120084|SRX4120083|SRX4120082|SRX4120075|SRX4120074|SRX4120073|SRX4120072|SRX4120057|SRX4120056|SRX4120053|SRX4120052|SRX4120045|SRX4120044|SRX4120039|SRX4120038|SRX4120017|SRX4120016|SRX4120015|SRX4120012|SRX4120011|SRX4120010|SRX4119954|SRX4119953|SRX4119952|SRX3165838|SRX3165837|SRX3165836|SRX3165835|SRX3165834|SRX110131|SRX109549","Dart-seq sequences of three  Capsicum species.|Genome-wide association study in pepper|DNA methylome and transcriptome of fruits of different Capsicum species|Capsicum frutescens isolate:Honglong 23 Raw sequence reads|Investigation of domestication footprints in three major Solanaceae species|Mexican chile pepper landrace and global chile pepper cultivars|Capsicum frutescens Raw sequence reads|Capsicum frutescens Transcriptome or Gene expression|De novo assembly transcriptome in chili pepper","Capsicum frutescens"
"Capsicum rhomboideum","SRX3560040","Lycianthes Transcriptom","Capsicum rhomboideum"
"Cestrum diurnum","SRX5799393","Cestrum diurnum and cestrum nocturnum denovo sequencing","Cestrum diurnum"
"Cestrum elegans","SRX5852429|SRX1951473|SRX1951472","Identification of telomerase RNA in plants|BAL31-NGS sequencing","Cestrum elegans"
"Cestrum nocturnum","SRX8165903|SRX5799392","DNA Barcodes from the Global Genome Initiative for Gardens Program|Cestrum diurnum and cestrum nocturnum denovo sequencing","Cestrum nocturnum"
"Datura inoxia","SRX10578028|SRX10578027|SRX10578026","Tropane alkaloid biosynthesis in Datura innoxia Mill. roots and their differential transport to shoots","Datura inoxia"
"Datura metel","ERX2099688","1000 Plant (1KP) Transcriptomes: The Remaining Data","Datura metel"
"Datura stramonium","SRX7920375|SRX7920374|SRX8050932|SRX8050931|SRX8050930|SRX8050929|SRX7920378|SRX7920377|SRX7920376|SRX7134080|SRX7134079|SRX7134077|SRX7134076|SRX7134075|SRX7134074|SRX6640956|SRX6640955","Datura stramonium isolate:AR-01 Genome sequencing and assembly|Genomic signatures of the evolution of defence against its natural enemies in the poisonous and medicinal plant Datura stramonium (Solanaceae)|Solanum tuberosum L.  and Datura stramonium L. Raw sequence reads|TA biosynthesis in Solanaceae","Datura stramonium"
"Datura wrightii","SRX4128035|SRX4128034|SRX4128029|SRX4128028|SRX4128024|SRX4128022","Understanding plant virus biodiversity and impacts on hosts in extreme habitats","Datura wrightii"
"Jaltomata procumbens","SRX2676139|SRX2676138","Jaltomata Phylogenomics","Jaltomata procumbens"
"Jaltomata repandidentata","SRX2676141|SRX2676140","Jaltomata Phylogenomics","Jaltomata repandidentata"
"Nicotiana acuminata","SRX1427412|SRX1427411|SRX1427149|SRX1427148|SRX1427147|SRX1427146","Evolution of the herbivore associated elicitor induced early defence signalling networks in Nicotiana","Nicotiana acuminata"
"Nicotiana attenuata","SRX5172662|SRX5172661|SRX5172660|SRX5172659|SRX5172658|SRX5172657|SRX5172656|SRX5172655|SRX5172654|SRX5172653|SRX5172652|SRX5172651|SRX5172650|SRX5172649|SRX5172648|SRX5172647|SRX5172646|SRX5172645|SRX5172644|SRX5172643|SRX5172642|SRX5172641|SRX5172640|SRX5172639|SRX4671755|SRX4671754|SRX4671753|SRX4671752|SRX4671751|SRX4671750|SRX4671749|SRX4671748|SRX4671747|SRX4671746|SRX4671745|SRX4671744|SRX3563015|SRX3563014|SRX3563013|SRX3563012|SRX3563011|SRX3563010|SRX3563009|SRX3563008|SRX3563007|SRX3563006|SRX3563005|SRX3563004|ERX2202084|SRX2648615|SRX2648614|SRX2648613|SRX2648612|SRX2648611|SRX2648610|SRX2648609|SRX2648608|SRX2648607|SRX2648606|SRX2648605|SRX2648604|SRX2648603|SRX2648602|SRX2648601|SRX2648600|SRX2648599|SRX2648598|SRX2648597|SRX2648596|SRX2648595|SRX2648594|SRX2648593|SRX2648592|SRX2648591|SRX2648590|SRX2648589|SRX2648588|SRX2648587|SRX2648586|SRX2648585|SRX2648584|SRX2648583|SRX2648582|SRX2648581|SRX2648580|SRX2648579|SRX2648578|SRX2648577|SRX2648576|SRX2648575|SRX2648574|SRX2648573|SRX2648572|SRX2648571|SRX2648570|SRX2648569|SRX2648568|SRX2648567|SRX2648565|SRX2648563|SRX2648562|SRX2648561|SRX2648560|SRX2648559|SRX2648558|SRX2648557|SRX2648556|SRX2648555|SRX2648554|SRX2648553|SRX2648552|SRX2648551|SRX2648550|SRX2648549|SRX2648548|SRX2648547|SRX2648546|SRX2648545|SRX2648544|SRX2648543|SRX2648542|SRX2648541|SRX2648540|SRX2648539|SRX2648538|SRX2648537|SRX2648536|SRX2648534|SRX2648533|SRX2648532|SRX2648531|SRX2648530|SRX2648529|SRX2648528|SRX2648527|SRX2648526|SRX2648525|SRX2648524|SRX2648523|SRX2648522|SRX2648521|SRX2648520|SRX2648519|SRX2648518|SRX2648517|SRX2648516|SRX2648515|SRX2648514|SRX2648513|SRX2648512|SRX2648511|SRX2648510|SRX2648509|SRX2648508|SRX2648507|SRX2648506|SRX2648505|SRX2648503|SRX2648502|SRX2648501|SRX2648500|SRX2648499|SRX2648498|SRX2648497|SRX2648496|SRX2648495|SRX2648494|SRX2648493|SRX2648492|SRX2648491|SRX2648490|SRX2648489|SRX2648488|SRX2648487|SRX2648486|SRX2648485|SRX2648484|SRX2648483|SRX2648482|SRX2648481|SRX2648480|SRX2648479|SRX2648478|SRX2648477|SRX2648476|SRX2648475|SRX2648474|SRX2648473|SRX2648472|SRX2648471|SRX2648470|SRX2648469|SRX2648468|SRX2648467|SRX2648466|SRX2648465|SRX2648464|SRX2648463|SRX2648462|SRX2648461|SRX2648460|SRX2648459|SRX2648458|SRX2648457|SRX2648456|SRX2648455|SRX2648454|SRX2648453|SRX2648452|SRX2648451|SRX2648450|SRX2648449|SRX2648448|SRX2648447|SRX2648446|SRX2648445|SRX2648444|SRX2648443|SRX2648442|SRX2648441|SRX2648440|SRX2648439|SRX2648438|SRX2648437|SRX2648436|SRX2648435|SRX2648434|SRX2648433|SRX2648432|SRX2648431|SRX2648430|SRX2648429|SRX2648428|SRX2648427|SRX2648426|SRX2648425|SRX2648424|SRX2648423|SRX2648422|SRX2648421|SRX2648420|SRX2648419|SRX2648418|SRX2648417|SRX2648416|SRX2648415|SRX2648414|SRX2648413|SRX2648412|SRX2648411|SRX2648410|SRX2648409|SRX2648408|SRX2648407|SRX2648406|SRX2648405|SRX2648404|SRX2648403|SRX2648402|SRX2648401|SRX2648400|SRX2648399|SRX2648398|SRX2648397|SRX2648396|SRX2648395|SRX2648394|SRX2648393|SRX2648392|SRX2648391|SRX2648390|SRX2648389|SRX2648388|SRX2648387|SRX2648386|SRX2648385|SRX2648384|SRX2648383|SRX2648382|SRX2648381|SRX2648380|SRX2648379|SRX2648378|SRX2648376|SRX2648375|SRX2648374|SRX2648373|SRX2648372|SRX2648371|SRX2648370|SRX2648369|SRX2648368|SRX2648367|SRX2648366|SRX2648365|SRX2648364|SRX2648363|SRX2648362|SRX2648361|SRX2648360|SRX2648359|SRX2648358|SRX2648357|SRX2648356|SRX2648355|ERX1223917|SRX2023676|SRX2023675|SRX2023674|SRX2023673|SRX2023672|SRX2023671|SRX2023670|SRX2023669|SRX2023668|SRX2023659|SRX2023632|SRX2023631|SRX2023630|SRX2023629|SRX2023628|SRX2023627|SRX2023626|SRX2023625|SRX1804913|SRX1804912|SRX1804911|SRX1804910|SRX1804909|SRX1804908|SRX1804907|SRX1804906|SRX1804905|SRX1804904|SRX1804903|SRX1804902|SRX1804901|SRX1804900|SRX1804899|SRX1804898|SRX1804897|SRX1804896|SRX1804895|SRX1804554|SRX1802609|ERX1466878|ERX1466877|SRX1804765|SRX1804553|SRX1804540|SRX1804505|SRX1804504|SRX1804503|SRX1804502|SRX1802626|SRX1802625|SRX1802624|SRX1802623|SRX1802622|SRX1802621|SRX1802620|SRX1802619|SRX1802618|SRX1802617|SRX1802616|SRX1802615|SRX1802614|SRX1802613|SRX1802612|SRX1802611|SRX1802610|SRX1802608|SRX1802607|SRX1802606|SRX1802605|SRX1802831|SRX1802830|SRX1802829|SRX1802828|SRX1802827|SRX1802826|SRX1802825|SRX1802824|SRX1802823|SRX1802822|SRX1802821|SRX1802820|SRX1802819|SRX1802818|SRX1802817|SRX1802816|SRX1802815|SRX1802814|SRX1802813|SRX1802812|SRX1802811|SRX1802810|SRX1802809|SRX1802808|SRX1802807|SRX1802806|SRX1802805|SRX1802804|SRX1802803|SRX1802802|SRX1802801|SRX1745224|SRX1740651|SRX1740650|SRX1740649|SRX1740648|SRX1740647|SRX1740646|SRX1740645|SRX1740644|SRX1740643|SRX1740642|SRX1740641|SRX1740640|SRX1706661|SRX1427511|SRX1427504|SRX1427503|SRX1427502|SRX1427501|SRX1427500|SRX1427499|SRX1427498|SRX1427452|SRX1427451|SRX1427450|SRX1427413|SRX976863|SRX1000116|SRX1000071|SRX977293|SRX977292|SRX977281|SRX977277|SRX977276|SRX977274|SRX977272|SRX977257|SRX977255|SRX977253|SRX977251|SRX977239|SRX977230|SRX977196|SRX977195|SRX977133|SRX976868|SRX706835|SRX706834|ERX321061","Nicotiana attenuata (wild type and AGO4 silenced) small RNA sequencing|Nicotiana attenuata Transcriptome or Gene expression|Small RNAs from Nicotiana attenuata roots inoculated with Rhizophagus irregularis. Raw sequence reads|Effects of antimicrobial peptide expression on the root microbiota of field-grown Nicotiana attenuata plants|Nicotiana attenuata advanced intercross RILs Genotyping by Sequencing|Nicotiana attenuata small RNA sequencing|Nicotiana attenuata cultivar:Utah 30x inbred Transcriptome or Gene expression|Nicotiana attenuata strain:UT Genome sequencing and assembly|Microbiome of Nicotiana attenuata|Nicotiana attenuata ecotype Arizona Transcriptome|Nicotiana attenuata ecotype Arizona Genome sequencing and assembly|Nicotiana attenuata cultivar:irAOC x irGGPPS from Utah 22x inbred Genome sequencing|Nicotiana attenuata Root Transcriptome|Nicotiana attenuata 454 Transcriptome or Gene expression|Evolution of the herbivore associated elicitor induced early defence signalling networks in Nicotiana|Transcriptome analysis of wild tobacco Nicotiana attenuata after Alternaria alternata infection|Endophytic bacterial communities of field-grown Nicotiana attenuata plants are influenced by tissues and independent of ontogeny and JA-signaling capacities","Nicotiana attenuata"
"Nicotiana clevelandii","SRX3866257|SRX3866256|SRX3866255|SRX3866254|SRX3866253|SRX3866252|SRX3866251|SRX3866250|SRX3866249|SRX3866248|SRX3866247|SRX3866246","Gene expression in tobacco (Nicotiana) nectaries","Nicotiana clevelandii"
"Nicotiana nudicaulis","SRX135056","The dynamics of genome size change in Nicotiana section Repandae","Nicotiana nudicaulis"
"Nicotiana obtusifolia","SRX1802405|SRX1802404|SRX1802403|SRX1693170|SRX1427144|SRX1427143|SRX1427142|SRX1427141|SRX1427138|SRX1427136|SRX1427134|SRX1427133|SRX1427131|SRX1426922|SRX1426921|SRX1426920|SRX135054","Nicotiana obtusifolia breed:1x inbred Genome sequencing and assembly|Nicotiana obtusifolia breed:1x inbred Transcriptome or Gene expression|Evolution of the herbivore associated elicitor induced early defence signalling networks in Nicotiana|The dynamics of genome size change in Nicotiana section Repandae","Nicotiana obtusifolia"
"Nicotiana plumbaginifolia","SRX3866233|SRX3866232|SRX3866231|SRX3866230|SRX3866229|SRX3866228|SRX3866227|SRX3866226|SRX3866225|SRX3866224|SRX3866223|SRX3866222|SRX3866221|SRX3866220|SRX3866219|SRX3866218|SRX3866217|SRX3866216|SRX3866215|SRX3866214|SRX3866213","Gene expression in tobacco (Nicotiana) nectaries","Nicotiana plumbaginifolia"
"Nicotiana repanda","SRX135102","The dynamics of genome size change in Nicotiana section Repandae","Nicotiana repanda"
"Nicotiana stocktonii","SRX3604130|SRX2036928","sixteen nicotiana speceis Raw sequence reads|Repeat dynamics in Nicotiana section Repandae (Solanaceae)","Nicotiana stocktonii"
"Petunia axillaris|Petunia axillaris subsp. parodii|Petunia axillaris subsp. axillaris","SRX10192961|SRX10192958|SRX10192957|SRX9450193|SRX9450186|SRX9450182|SRX9450181|SRX9450180|SRX9450179|ERX3897685|ERX3897680|SRX7114427|SRX7114426|SRX7114425|SRX7114424|SRX7114423|SRX7114422|SRX7114421|SRX7114420|SRX7114419|SRX7114418|SRX7114417|SRX7114416|SRX5714874|SRX5711362|SRX5711361|SRX5711357|SRX5711348|SRX5711342|SRX5711337|SRX5711336|SRX5711335|SRX5711334|SRX5711333|SRX5711331|SRX5711330|SRX5711329|SRX5711326|SRX5711325|SRX5711322|SRX5711318|SRX5711317|SRX5711316|SRX5711315|SRX5711301|SRX5711300|SRX5711298|SRX5711297|SRX5711296|SRX5711295|SRX5711294|SRX5711293|SRX5711292|SRX5711291|SRX5443159|SRX5443158|SRX5443157|SRX5443156|SRX5443155|SRX5443154|SRX5443153|SRX5443152|SRX5443151|SRX5443150|SRX5443149|SRX5443148|SRX5415926|SRX5202276|SRX4649695|SRX4649694|SRX4649693|DRX119073|DRX119072|DRX119071|SRX3425848|SRX3425847|SRX3425846|SRX3425845|SRX3425844|SRX3425843|SRX3425842|SRX3425841|SRX3425840|SRX3425839|SRX3425838|SRX3425837|SRX3425836|SRX3425835|SRX1409888|SRX1409887|SRX1409886|SRX1402727|SRX1402609|SRX1402587|SRX710299|SRX710298|SRX710174|SRX709957|SRX709906|SRX036998","Petunia axillaris x Petunia exserta RILs Raw sequence reads|RNAseq of Petunia axillaris, Petunia exserta, Petunia secreta, and F1 flower limbs|Bodenhausen et al. 2019; Petunia- and Arabidopsis-Specific Root Microbiota Responses to Phosphate Supplementation|Petunia x hybrida cultivar:M1×V30 Raw sequence reads|A workflow for identification of plant speciation genes|Regional control of partially fused petunia corollas|DNA Zoo|Petunia axillaris x Petunia inflata S6 F1 RNAseq|RNA-sequencing of limbs, buds, and leaves of Petunia axillaris subsp. parodii|Petunia axillaris cultivar:N Genome sequencing and assembly|RNA-seq of Petunia floral buds for differences in flavonol-related genes|RNA-seq of Petunia floral buds|Petunia axillaris strain:PI 667515 Transcriptome or Gene expression|Revealing impaired pathways in regulatory mutants by high-throughput characterization of Petunia axillaris and inflata transcriptomes","Petunia axillaris"
"Physalis angulata","SRX3644366","Assessment of Genetic Diversity and Systematics of the genus Physalis L. (Solanaceae) in India, using PCR based methods","Physalis angulata"
"Physalis peruviana","ERX4840432|SRX3644365|DRX043583|SRX984241|SRX983104|SRX981416|SRX981060|SRX980678|SRX978916|SRX972116|SRX971469|SRX690987|SRX216233|SRX045419","Data for release 1.0 of the Kew Tree of Life Explorer|Assessment of Genetic Diversity and Systematics of the genus Physalis L. (Solanaceae) in India, using PCR based methods|RNA-Seq analysis and transcriptome assembly for edible and decorative physalis plants|Physalis peruviana Colombia variety transcriptome sequencing project","Physalis peruviana"
